judul,tanggal,isi,
"Konsisten Berinovasi, Pupuk Kaltim Bisa Berhemat hingga Rp 60 Miliar","Kompas.com - 12/11/2021, 06:15 WIB","JAKARTA, KOMPAS.com - Semangat inovasi terus ditanamkan PT Pupuk Kalimantan Timur (Pupuk Kaltim/PKT) bagi para karyawan di seluruh unit kerja, baik di pusat produksi di Bontang, maupun di seluruh wilayah distribusi perusahaan.
Kegiatan-kegiatan yang dilakukan oleh Pupuk Kaltim mampu meningkatkan nilai penghematan di seluruh lini perusahaan, yang tadinya senilai Rp 51,73 miliar pada 2020, meningkat 16 persen menjadi Rp 60 miliar pada tahun 2021.
Baca juga: Nelayan Binaan Pupuk Kaltim Penuhi Kebutuhan Ekspor 1 Ton Kerapu
Nilai penghematan tersebut berhasil tercapai berkat berbagai inovasi yang dilakukan PKT di segala lini di perusahaan.
Ragam inovasi tersebut pun diapresiasi melalui kegiatan Pupuk Kaltim Innovation Award (PIA) Ke-33 Tahun 2021.
PIA merupakan kegiatan rutin yang diadakan PKT, guna menampilkan berbagai inovasi dari berbagai unit kerja, seluruh karyawan, anak perusahaan, yayasan dan afiliasi di bawah naungan PKT. 
Direktur Utama PKT Rahmad Pribadi mengatakan, inovasi sudah menjadi bagian dari kehidupan PKT yang terus digencarkan.
Tingginya persaingan saat ini mengharuskan setiap pelaku bisnis untuk terus menciptakan peluang melalui berbagai inovasi agar dapat menjadi market leader, demi menjaga kelangsungan operasional perusahaan dan menghasilkan keputusan-keputusan yang efektif dan efisien.
Baca juga: Program Makmur Pupuk Kaltim Berhasil Tingkatkan Produktivitas Buah-buahan
""Inovasi-inovasi yang ditampilkan di PIA, menjadi bukti nyata kepedulian kita semua terhadap budaya mutu dan inovasi di PKT,” ungkap Rahmad dalam siaran persnya, dikutip Kompas.com, Jumat (12/11/2021).
Rahmad juga mengajak para inovator PKT untuk terus berinovasi dan menemukan jawaban-jawaban atas berbagai tantangan di masa depan.
Sebab, menurut dia, tantangan di industri pupuk berbagai macam dan kompleks, mulai dari semakin majunya industri pertanian, berubahnya global supply chain dan kebijakan Pemerintah terhadap industri pupuk.
“Saya yakin masa depan PKT semakin cerah dan semakin besar, mengingat semangat inovasi yang selalu kita bawa melalui ajang PIA ini. Kita pasti bisa menghadapi apapun tantangan di depan dan akan menjadi pemenang,” tegas Rahmad.
Baca juga: Pupuk Kaltim Garap Bisnis Suku Cadang Industri dan Pemeliharaan Pabrik
Ketua Panitia PIA Ke-33 Tahun 2021 Ika Kusumadewi mengatakan, meski di tengah pandemi, kondisi ini tidak menyurutkan semangat penggiat inovasi PKT untuk menghasilkan berbagai inovasi dan nilai tambah bagi perusahaan.
“Pencapaian ini mempertegas eksistensi PKT dengan terus mengembangkan inovasi secara berkelanjutan,” kata Ika.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
"Konsisten Berinovasi, Pupuk Kaltim Bisa Berhemat hingga Rp 60 Miliar","Kompas.com - 12/11/2021, 06:15 WIB","JAKARTA, KOMPAS.com - Semangat inovasi terus ditanamkan PT Pupuk Kalimantan Timur (Pupuk Kaltim/PKT) bagi para karyawan di seluruh unit kerja, baik di pusat produksi di Bontang, maupun di seluruh wilayah distribusi perusahaan.
Kegiatan-kegiatan yang dilakukan oleh Pupuk Kaltim mampu meningkatkan nilai penghematan di seluruh lini perusahaan, yang tadinya senilai Rp 51,73 miliar pada 2020, meningkat 16 persen menjadi Rp 60 miliar pada tahun 2021.
Baca juga: Nelayan Binaan Pupuk Kaltim Penuhi Kebutuhan Ekspor 1 Ton Kerapu
Nilai penghematan tersebut berhasil tercapai berkat berbagai inovasi yang dilakukan PKT di segala lini di perusahaan.
Ragam inovasi tersebut pun diapresiasi melalui kegiatan Pupuk Kaltim Innovation Award (PIA) Ke-33 Tahun 2021.
PIA merupakan kegiatan rutin yang diadakan PKT, guna menampilkan berbagai inovasi dari berbagai unit kerja, seluruh karyawan, anak perusahaan, yayasan dan afiliasi di bawah naungan PKT. 
Direktur Utama PKT Rahmad Pribadi mengatakan, inovasi sudah menjadi bagian dari kehidupan PKT yang terus digencarkan.
Tingginya persaingan saat ini mengharuskan setiap pelaku bisnis untuk terus menciptakan peluang melalui berbagai inovasi agar dapat menjadi market leader, demi menjaga kelangsungan operasional perusahaan dan menghasilkan keputusan-keputusan yang efektif dan efisien.
Baca juga: Program Makmur Pupuk Kaltim Berhasil Tingkatkan Produktivitas Buah-buahan
""Inovasi-inovasi yang ditampilkan di PIA, menjadi bukti nyata kepedulian kita semua terhadap budaya mutu dan inovasi di PKT,” ungkap Rahmad dalam siaran persnya, dikutip Kompas.com, Jumat (12/11/2021).
Rahmad juga mengajak para inovator PKT untuk terus berinovasi dan menemukan jawaban-jawaban atas berbagai tantangan di masa depan.
Sebab, menurut dia, tantangan di industri pupuk berbagai macam dan kompleks, mulai dari semakin majunya industri pertanian, berubahnya global supply chain dan kebijakan Pemerintah terhadap industri pupuk.
“Saya yakin masa depan PKT semakin cerah dan semakin besar, mengingat semangat inovasi yang selalu kita bawa melalui ajang PIA ini. Kita pasti bisa menghadapi apapun tantangan di depan dan akan menjadi pemenang,” tegas Rahmad.
Baca juga: Pupuk Kaltim Garap Bisnis Suku Cadang Industri dan Pemeliharaan Pabrik
Ketua Panitia PIA Ke-33 Tahun 2021 Ika Kusumadewi mengatakan, meski di tengah pandemi, kondisi ini tidak menyurutkan semangat penggiat inovasi PKT untuk menghasilkan berbagai inovasi dan nilai tambah bagi perusahaan.
“Pencapaian ini mempertegas eksistensi PKT dengan terus mengembangkan inovasi secara berkelanjutan,” kata Ika.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
"Konsisten Berinovasi, Pupuk Kaltim Bisa Berhemat hingga Rp 60 Miliar","Kompas.com - 12/11/2021, 06:15 WIB","JAKARTA, KOMPAS.com - Semangat inovasi terus ditanamkan PT Pupuk Kalimantan Timur (Pupuk Kaltim/PKT) bagi para karyawan di seluruh unit kerja, baik di pusat produksi di Bontang, maupun di seluruh wilayah distribusi perusahaan.
Kegiatan-kegiatan yang dilakukan oleh Pupuk Kaltim mampu meningkatkan nilai penghematan di seluruh lini perusahaan, yang tadinya senilai Rp 51,73 miliar pada 2020, meningkat 16 persen menjadi Rp 60 miliar pada tahun 2021.
Baca juga: Nelayan Binaan Pupuk Kaltim Penuhi Kebutuhan Ekspor 1 Ton Kerapu
Nilai penghematan tersebut berhasil tercapai berkat berbagai inovasi yang dilakukan PKT di segala lini di perusahaan.
Ragam inovasi tersebut pun diapresiasi melalui kegiatan Pupuk Kaltim Innovation Award (PIA) Ke-33 Tahun 2021.
PIA merupakan kegiatan rutin yang diadakan PKT, guna menampilkan berbagai inovasi dari berbagai unit kerja, seluruh karyawan, anak perusahaan, yayasan dan afiliasi di bawah naungan PKT. 
Direktur Utama PKT Rahmad Pribadi mengatakan, inovasi sudah menjadi bagian dari kehidupan PKT yang terus digencarkan.
Tingginya persaingan saat ini mengharuskan setiap pelaku bisnis untuk terus menciptakan peluang melalui berbagai inovasi agar dapat menjadi market leader, demi menjaga kelangsungan operasional perusahaan dan menghasilkan keputusan-keputusan yang efektif dan efisien.
Baca juga: Program Makmur Pupuk Kaltim Berhasil Tingkatkan Produktivitas Buah-buahan
""Inovasi-inovasi yang ditampilkan di PIA, menjadi bukti nyata kepedulian kita semua terhadap budaya mutu dan inovasi di PKT,” ungkap Rahmad dalam siaran persnya, dikutip Kompas.com, Jumat (12/11/2021).
Rahmad juga mengajak para inovator PKT untuk terus berinovasi dan menemukan jawaban-jawaban atas berbagai tantangan di masa depan.
Sebab, menurut dia, tantangan di industri pupuk berbagai macam dan kompleks, mulai dari semakin majunya industri pertanian, berubahnya global supply chain dan kebijakan Pemerintah terhadap industri pupuk.
“Saya yakin masa depan PKT semakin cerah dan semakin besar, mengingat semangat inovasi yang selalu kita bawa melalui ajang PIA ini. Kita pasti bisa menghadapi apapun tantangan di depan dan akan menjadi pemenang,” tegas Rahmad.
Baca juga: Pupuk Kaltim Garap Bisnis Suku Cadang Industri dan Pemeliharaan Pabrik
Ketua Panitia PIA Ke-33 Tahun 2021 Ika Kusumadewi mengatakan, meski di tengah pandemi, kondisi ini tidak menyurutkan semangat penggiat inovasi PKT untuk menghasilkan berbagai inovasi dan nilai tambah bagi perusahaan.
“Pencapaian ini mempertegas eksistensi PKT dengan terus mengembangkan inovasi secara berkelanjutan,” kata Ika.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
"Permintaan dari Tiongkok Anjlok, Batubara Kaltim Berharap ke India","Kompas.com - 02/09/2014, 08:14 WIB","SAMARINDA, KOMPAS.com – Lesunya permintaan batubara dari Tiongkok, membuat pertambangan di Kalimantan Timur (Kaltim) beralih kiblat ke India.
Kepala Kantor Perwakilan Bank Indonesia (BI) Kaltim, Ameriza M Moesa, mengatakan, selama ini ekspor batubara Kaltim untuk menyuplai kebutuhan energi di Tiongkok. Namun, permintaan batubara dari negeri Tirai Bambu itu menurun drastis.  Kaltim kini berharap penuh pada India.
“Ekspor batubara ke China pada tahun 2011 lalu mencapai 62,71 juta ton. Sementara, ekspor ke India hanya berkisar 43,5 juta ton. Namun sampai Agustus 2014 ini, ekspor ke Tiongkok itu disalip oleh India. China kini hanya sebesar 33,85 juta ton, sedangkan ekspor ke India mencapai 37,66 juta ton,” jelasnya.
Ameriza mengatakan, meski permintaan dari India terus meningkat, namun belum bisa menyamai permintaan sebelumnya dari Tiongkok.  Ia melanjutkan, menurunnya permintaan dari Tiongkok inilah yang menjadi penyebab lesunya harga batubara asal Kaltim.
“Hal ini bakal diperparah dengan kebijakan ekspor batubara yang akan dikeluarkan China. Pasalnya China dikabarkan akan menerbitkan policy untuk memanfaatkan cadangan batubara yang mereka miliki. Artinya, China akan mengurangi ketergantungan mereka dari impor batubara, termasuk dari Kaltim,” ungkapnya.
Ameriza berharap, batubara Kaltim akan tertolong dengan meningkatnya permintaan India dan sejumlah negara ASEAB yang tengah mengembangkan sumber energi berbahan bakar batubara.
“Di India, tahun depan diyakini permintaannya akan meningkat karena Perdana Menterinya yang baru tengah semangat membangun kecukupan energi negerinya dengan batubara. Begitu juga dengan Banglades, dan Malaysia yang terus mengembangkan energi listrik batubara. Vietnam yang selama ini jadi eksportir, dua tahun lagi kita prediksi akan mengimpor batubara kita,” katanya.
Meski demikian, Ameriza mengakui industri batubara Kaltim sulit pulih. Di sisi lain, Ameriza meyakini sektor batubara Kaltim tetap bertahan di masa datang karena kebutuhan energi dunia terus meningkat. “Karena batubara ini energi, jadi secara bisnis pasti akan terus ada permintaan. Pasar selain China ini yang akan menopang. Saya lihat, tahun depan kemungkinan ada perbaikan seiring meningkatnya permintaan dari negara lain. Tapi itu tergantung permintaan,” katanya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
"Permintaan dari Tiongkok Anjlok, Batubara Kaltim Berharap ke India","Kompas.com - 02/09/2014, 08:14 WIB","SAMARINDA, KOMPAS.com – Lesunya permintaan batubara dari Tiongkok, membuat pertambangan di Kalimantan Timur (Kaltim) beralih kiblat ke India.
Kepala Kantor Perwakilan Bank Indonesia (BI) Kaltim, Ameriza M Moesa, mengatakan, selama ini ekspor batubara Kaltim untuk menyuplai kebutuhan energi di Tiongkok. Namun, permintaan batubara dari negeri Tirai Bambu itu menurun drastis.  Kaltim kini berharap penuh pada India.
“Ekspor batubara ke China pada tahun 2011 lalu mencapai 62,71 juta ton. Sementara, ekspor ke India hanya berkisar 43,5 juta ton. Namun sampai Agustus 2014 ini, ekspor ke Tiongkok itu disalip oleh India. China kini hanya sebesar 33,85 juta ton, sedangkan ekspor ke India mencapai 37,66 juta ton,” jelasnya.
Ameriza mengatakan, meski permintaan dari India terus meningkat, namun belum bisa menyamai permintaan sebelumnya dari Tiongkok.  Ia melanjutkan, menurunnya permintaan dari Tiongkok inilah yang menjadi penyebab lesunya harga batubara asal Kaltim.
“Hal ini bakal diperparah dengan kebijakan ekspor batubara yang akan dikeluarkan China. Pasalnya China dikabarkan akan menerbitkan policy untuk memanfaatkan cadangan batubara yang mereka miliki. Artinya, China akan mengurangi ketergantungan mereka dari impor batubara, termasuk dari Kaltim,” ungkapnya.
Ameriza berharap, batubara Kaltim akan tertolong dengan meningkatnya permintaan India dan sejumlah negara ASEAB yang tengah mengembangkan sumber energi berbahan bakar batubara.
“Di India, tahun depan diyakini permintaannya akan meningkat karena Perdana Menterinya yang baru tengah semangat membangun kecukupan energi negerinya dengan batubara. Begitu juga dengan Banglades, dan Malaysia yang terus mengembangkan energi listrik batubara. Vietnam yang selama ini jadi eksportir, dua tahun lagi kita prediksi akan mengimpor batubara kita,” katanya.
Meski demikian, Ameriza mengakui industri batubara Kaltim sulit pulih. Di sisi lain, Ameriza meyakini sektor batubara Kaltim tetap bertahan di masa datang karena kebutuhan energi dunia terus meningkat. “Karena batubara ini energi, jadi secara bisnis pasti akan terus ada permintaan. Pasar selain China ini yang akan menopang. Saya lihat, tahun depan kemungkinan ada perbaikan seiring meningkatnya permintaan dari negara lain. Tapi itu tergantung permintaan,” katanya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
Perusahaan Kehutanan Kaltim Terkena Dampak Krisis,"Kompas.com - 21/10/2008, 19:51 WIB","SAMARINDA, SELASA- Kalangan pengusaha kehutanan di Kalimantan Timur mengeluhkan dampak krisis keuangan di Amerika Serikat ikut berimbas ke daerah. Mereka terpaksa mengurangi biaya operasional perusahaan, bahkan bisa menempuh pemutusan hubungan kerja atau PHK.
Sekretaris Eksekutif Asosiasi Pengusaha Hutan Indonesia Kalimantan Timur SM Halomoan Purba, Selasa (21/10), mengatakan, krisis membuat pembeli di mancanegara mengurangi permintaan kayu sehingga ekspor Kaltim turun.
Krisis, lanjut Purba, juga membuat harga kayu anjlok. Padahal, kayu sudah mulai menumpuk di perusahaan. Penyimpanan membuat kayu rusak atau kualitasnya turun sehingga harga jual bisa menjadi separuhnya.
Namun, menurut Purba, pasokan kayu bulat sebagai bahan baku kayu lapis untuk ekspor tidak berkurang. Sebabnya, perusahaan penebang memiliki jatah yang harus dipenuhi.
""Target yang tidak terpenuhi bisa mengurangi jatah tahun berikutnya,"" kata Anthony P Manalu, Ketua Kelompok Kerja Teknis Kehutanan APHI Kaltim.
Untuk itu, kata Manalu, perusahaan akan mencoba memenuhi target dengan tetap menebang meski mengurangi sejumlah biaya. Yang dikhawatirkan memang perusahaan mengambil skenario terburuk dengan meng urangi jumlah pekerja atau PHK.
""Gambaran saat ini, pengusaha kehutanan cuma bisa mengurangi kerugian,"" kata Agus Suriansyah, Ketua Kelompok Kerja Hukum dan Organisasi APHI Kaltim.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
Gubernur Isran Noor Pastikan Mangrove Tidak Terdampak IKN: Kita Pelihara Buaya dari Darat sampai Laut,"Kompas.com - 29/09/2022, 11:22 WIB","SAMARINDA, KOMPAS.com – Pembangunan Ibu Kota Negara (IKN) di Sepaku, Kabupaten Penajam Paser Utara (PPU), Kalimantan Timur memang terus dikebut.
Hingga saat ini, progresnya terus berjalan untuk pembangunan infrastruktur seperti akses jalan, kantor pemerintahan hingga Istana Presiden.
Namun, pembangunan IKN masih saja dikhawatirkan oleh sejumlah pihak.
Baca juga: Isran Noor Sebut Nilai Ekspor Batu Bara Kaltim Melebihi Biaya Pembangunan IKN Nusantara
  Salah satunya kekhawatiran ekosistem di wilayah pesisir dan mangrove di Kaltim. Khususnya di wilayah Balikpapan yang memiliki hutan mangrove cukup luas. 
Namun, Gubernur Kaltim Isran Noor membantah bahwa pembangunan IKN akan berdampak pada kawasan hutan mangrove di sekitar Balikpapan.
Menurutnya pembangunan IKN juga tidak akan berdampak pada ekosistem laut maupun pesisir.
Sebab, pemerintah tentu mengedepankan pemeliharaan lingkungan dan hutan.
“Jauh itu mangrove, enggak akan terganggu. Kalau pelabuhan yang ada enggak ada masalah, kita pelihara buaya mulai dari darat sampai laut,” ujarnya pada Rabu (28/9/2022).
Baca juga: Amdal IKN Mulai Dikaji, Gubernur Isran Noor: Kalian Tidak Usah Lagi Ragu
Ia menjelaskan, konsep pembangunan IKN yakni Forest City, di mana pemerintah akan mengedepankan nuansa alam yang hijau namun cukup modern.
  Bahkan konsep ini belum ada di negara lain, sehingga kehidupan di IKN akan menyatu dengan lingkungan dan ekosistem hutan di wilayah tersebut juga terjaga.
""Kehidupan di sana beda, tidak ada di dunia, kita akan berinteraksi dengan alam, satwa, dengan kondisi alami yang endemik,"" tandasnya.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
Perusahaan Kehutanan Kaltim Terkena Dampak Krisis,"Kompas.com - 21/10/2008, 19:51 WIB","SAMARINDA, SELASA- Kalangan pengusaha kehutanan di Kalimantan Timur mengeluhkan dampak krisis keuangan di Amerika Serikat ikut berimbas ke daerah. Mereka terpaksa mengurangi biaya operasional perusahaan, bahkan bisa menempuh pemutusan hubungan kerja atau PHK.
Sekretaris Eksekutif Asosiasi Pengusaha Hutan Indonesia Kalimantan Timur SM Halomoan Purba, Selasa (21/10), mengatakan, krisis membuat pembeli di mancanegara mengurangi permintaan kayu sehingga ekspor Kaltim turun.
Krisis, lanjut Purba, juga membuat harga kayu anjlok. Padahal, kayu sudah mulai menumpuk di perusahaan. Penyimpanan membuat kayu rusak atau kualitasnya turun sehingga harga jual bisa menjadi separuhnya.
Namun, menurut Purba, pasokan kayu bulat sebagai bahan baku kayu lapis untuk ekspor tidak berkurang. Sebabnya, perusahaan penebang memiliki jatah yang harus dipenuhi.
""Target yang tidak terpenuhi bisa mengurangi jatah tahun berikutnya,"" kata Anthony P Manalu, Ketua Kelompok Kerja Teknis Kehutanan APHI Kaltim.
Untuk itu, kata Manalu, perusahaan akan mencoba memenuhi target dengan tetap menebang meski mengurangi sejumlah biaya. Yang dikhawatirkan memang perusahaan mengambil skenario terburuk dengan meng urangi jumlah pekerja atau PHK.
""Gambaran saat ini, pengusaha kehutanan cuma bisa mengurangi kerugian,"" kata Agus Suriansyah, Ketua Kelompok Kerja Hukum dan Organisasi APHI Kaltim.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
"Resmikan PLTS Atap, Pupuk Kaltim Kejar Target Dekarbonisasi 32,51 Persen pada 2030","Kompas.com - 18/08/2022, 20:03 WIB","KOMPAS.com – PT Pupuk Kalimantan Timur (PKT) atau Pupuk Kaltim meresmikan Pembangkit Listrik Tenaga Surya (PLTS) Atap di Bontang, Kalimantan Timur, Kamis (18/8/2022). Pembangunan PLTS ini merupakan salah satu wujud komitmen Pupuk Kaltim dalam mencapai target pengurangan emisi karbon hingga 32,51 persen pada 2030.
PLTS yang mulai dibangun pada Mei 2021 itu juga menjadi wujud komitmen Pupuk Kaltim dalam penerapan environment, social and governance (ESG). Hal tersebut telah tertuang dalam roadmap pertumbuhan perusahaan selama 40 tahun ke depan.
Direktur Utama Pupuk Kaltim Rahmad Pribadi mengatakan bahwa pengembangan ESG dapat memberikan banyak manfaat bagi lingkungan.
“Hal tersebut menjadi strategi kami dalam mempercepat laju dekarbonisasi industri petrokimia dan pupuk,” ujar Rahmad dalam siaran pers yang diterima Kompas.com, Kamis.
Rahmad melanjutkan, salah satu upaya Pupuk Kaltim dalam mewujudkan transformasi hijau dilakukan dengan menambah komposisi bauran energi listrik dari energi baru terbarukan (EBT) dalam operasional bisnis perusahaan. Hal ini juga diharapkan mampu mendukung komitmen Indonesia dalam mencapai net zero emission (NZE) pada 2060.
(Baca juga: Program Tata Kelola Lingkungan Pupuk Kaltim Raih Properda Emas Pemprov Kalimantan Timur)
Untuk diketahui, Pupuk Kaltim juga telah mengganti sepeda motor operasional dengan motor listrik. Ke depan, konversi tersebut juga akan mencakup kendaraan lain, misalnya bus.
Rahmad menjelaskan, sebagai bagian dari ekosistem EBT, PLTS Atap mampu menghasilkan energi bersih dan menekan emisi gas karbon secara optimal.
“PLTS Atap dapat menghemat kebutuhan energi Pupuk Kaltim di area perkantoran sebesar 20 sampai 30 persen atau sekitar 139.000 kilowatt-hour (KWh) per bulan,” tutur Rahmad. Sebelumnya, konsumsi listrik di kawasan tersebut mencapai lebih dari 150.000 KWh per bulan.
Sementara itu, sejak Januari hingga Agustus 2022, produksi PLTS Atap Pupuk Kaltim telah mencapai 980,71 megawatt-hour (MWH) dan potensi produksi energi sebesar 3,21 MWH per hari dengan kondisi matahari penuh.
Lihat Foto
PLTS Atap dapat menghemat kebutuhan energi Pupuk Kaltim di area perkantoran sebesar 20 sampai 30 persen atau sekitar 139.000 KWh per bulan( Pupuk Kaltim)
Menurut Rahmad, jumlah produksi energi tersebut juga mampu menekan buangan gas limbah (CO2 Avoided) hingga 468,26 ton. Angka ini setara dengan 394,34 ton penggunaan batu bara (standard coal saved) yang dipakai pada pembangkit listrik konvensional.
Sebagai pelopor transformasi hijau industri petrokimia di Tanah Air, lanjut Rahmad, Pupuk Kaltim memanfaatkan area-area yang sudah ada untuk memasang PLTS seluas 6.500 meter persegi (m2) itu. Beberapa area yang dimanfaatkan adalah atap gedung perkantoran, kantin, dan kawasan parkir.
(Baca juga: Pupuk Kaltim Ubah Limbah Batu Bara Jadi Batako dan Paving Blok)
Adapun PLTS Atap memiliki kapasitas sebesar 1.256,04 kilowatt-peak (kWp) dengan tegangan output sebesar 3 phase 400 volt.
Pendayagunaan PLTS Atap menggunakan skema rooftop on grid tanpa baterai. Artinya, sistem ini tersambung jaringan listrik Pupuk Kaltim dengan total modul 2.326 unit.
Sistem on grid, jelas Rahmad, dapat mengirim kelebihan daya secara otomatis. Dengan demikian, daya ini bisa digunakan jika dibutuhkan. Sistem ini pun menghasilkan energi yang ramah lingkungan dan bebas emisi.
Rahmad berharap, pendayagunaan PLTS Atap dapat mendukung perusahaan untuk mencapai target penurunan emisi karbon secara berkelanjutan.
Ke depan, Pupuk Kaltim akan fokus menghadirkan strategi dan terobosan terbaik guna menjadi pionir dalam transformasi industri petrokimia yang lebih hijau. Pada akhirnya, hal tersebut juga dapat meningkatkan efisiensi energi secara menyeluruh.
“Hal yang juga tak kalah penting adalah Pupuk Kaltim akan terus mengajak seluruh lapisan masyarakat untuk lebih peduli terhadap lingkungan,” tutur Rahmad. 
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
Perusahaan Kehutanan Kaltim Terkena Dampak Krisis,"Kompas.com - 21/10/2008, 19:51 WIB","SAMARINDA, SELASA- Kalangan pengusaha kehutanan di Kalimantan Timur mengeluhkan dampak krisis keuangan di Amerika Serikat ikut berimbas ke daerah. Mereka terpaksa mengurangi biaya operasional perusahaan, bahkan bisa menempuh pemutusan hubungan kerja atau PHK.
Sekretaris Eksekutif Asosiasi Pengusaha Hutan Indonesia Kalimantan Timur SM Halomoan Purba, Selasa (21/10), mengatakan, krisis membuat pembeli di mancanegara mengurangi permintaan kayu sehingga ekspor Kaltim turun.
Krisis, lanjut Purba, juga membuat harga kayu anjlok. Padahal, kayu sudah mulai menumpuk di perusahaan. Penyimpanan membuat kayu rusak atau kualitasnya turun sehingga harga jual bisa menjadi separuhnya.
Namun, menurut Purba, pasokan kayu bulat sebagai bahan baku kayu lapis untuk ekspor tidak berkurang. Sebabnya, perusahaan penebang memiliki jatah yang harus dipenuhi.
""Target yang tidak terpenuhi bisa mengurangi jatah tahun berikutnya,"" kata Anthony P Manalu, Ketua Kelompok Kerja Teknis Kehutanan APHI Kaltim.
Untuk itu, kata Manalu, perusahaan akan mencoba memenuhi target dengan tetap menebang meski mengurangi sejumlah biaya. Yang dikhawatirkan memang perusahaan mengambil skenario terburuk dengan meng urangi jumlah pekerja atau PHK.
""Gambaran saat ini, pengusaha kehutanan cuma bisa mengurangi kerugian,"" kata Agus Suriansyah, Ketua Kelompok Kerja Hukum dan Organisasi APHI Kaltim.
Dapatkan update berita pilihan dan breaking news setiap hari dari Kompas.com. Mari bergabung di Grup Telegram ""Kompas.com News Update"", caranya klik link https://t.me/kompascomupdate, kemudian join. Anda harus install aplikasi Telegram terlebih dulu di ponsel.",kompas.com
